;(flair-tagged) sentence;;spaCy - flair;;stanza - flair;;stanza - spaCy
1751;['Really_ADV', ',_PUNCT', 'for_ADP', 'a_DET', 'man_NOUN', 'who_PRON', 'had_VERB', 'been_VERB', 'out_ADP', 'of_ADP', 'practice_NOUN', 'for_ADP', 'so_ADV', 'many_ADJ', 'years_NOUN', ',_PUNCT', 'it_PRON', 'was_VERB', 'a_DET', 'splendid_ADJ', 'laugh_NOUN', ',_PUNCT', 'a_DET', 'most_ADV', 'illustrious_ADJ', 'laugh_NOUN', '._PUNCT'];27;{'had_AUX', 'been_AUX', 'was_AUX', 'out_SCONJ'};27;{'had_AUX', 'been_AUX', 'was_AUX'};27;{'out_SCONJ'}
1752;['The_DET', 'father_NOUN', 'of_ADP', 'a_DET', 'long_ADJ', ',_PUNCT', 'long_ADJ', 'line_NOUN', 'of_ADP', 'brilliant_ADJ', 'laughs_NOUN', '!_PUNCT'];12;;12;;12;
1753;"['""_PUNCT', 'I_PRON', 'do_VERB', ""n't_ADV"", 'know_VERB', 'what_PRON', 'day_NOUN', 'of_ADP', 'the_DET', 'month_NOUN', 'it_PRON', 'is_VERB', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', '._PUNCT']";16;"{'do_AUX', 'is_AUX', ""n't_PART"", ',_PUNCT'}";17;"{'do_AUX', 'what_DET', ""n't_PART"", 'is_AUX', ',_PUNCT'}";17;
1754;"['""_PUNCT', 'I_PRON', 'do_VERB', ""n't_ADV"", 'know_VERB', 'how_ADV', 'long_ADV', 'I_PRON', 'have_VERB', 'been_VERB', 'among_ADP', 'the_DET', 'Spirits_PROPN', '._PUNCT']";14;"{'do_AUX', 'Spirits_NOUN', 'been_AUX', ""n't_PART"", 'have_AUX'}";14;"{'do_AUX', 'Spirits_NOUN', 'been_AUX', ""n't_PART"", 'have_AUX'}";14;
1755;"['I_PRON', 'do_VERB', ""n't_ADV"", 'know_VERB', 'anything_NOUN', '._PUNCT']";6;"{'do_AUX', ""n't_PART"", 'anything_PRON'}";6;"{'do_AUX', ""n't_PART"", 'anything_PRON'}";6;
1756;"['I_PRON', ""'m_VERB"", 'quite_DET', 'a_DET', 'baby_NOUN', '._PUNCT']";6;"{'quite_ADV', ""'m_AUX""}";6;"{""'m_AUX""}";6;{'quite_ADV'}
1757;['Never_ADV', 'mind_VERB', '._PUNCT'];3;;3;;3;
1758;"['I_PRON', 'do_VERB', ""n't_ADV"", 'care_VERB', '._PUNCT']";5;"{'do_AUX', ""n't_PART""}";5;"{'do_AUX', ""n't_PART""}";5;
1759;"['I_PRON', ""'d_AUX"", 'rather_ADV', 'be_VERB', 'a_DET', 'baby_NOUN', '._PUNCT']";7;"{""'d_VERB"", 'be_AUX'}";7;{'be_AUX'};7;"{""'d_VERB""}"
1760;['Hallo_INTJ', '!_PUNCT'];2;;2;;2;
1761;['Whoop_INTJ', '!_PUNCT'];2;{'Whoop_PROPN'};2;{'Whoop_NOUN'};2;{'Whoop_PROPN'}
1762;"['Hallo_PROPN', 'here_ADV', '!_PUNCT', '""_PUNCT']";4;{'Hallo_VERB'};4;;4;{'Hallo_VERB'}
1763;['He_PRON', 'was_VERB', 'checked_VERB', 'in_ADP', 'his_PRON', 'transports_NOUN', 'by_ADP', 'the_DET', 'churches_NOUN', 'ringing_VERB', 'out_ADP', 'the_DET', 'lustiest_ADJ', 'peals_NOUN', 'he_PRON', 'had_VERB', 'ever_ADV', 'heard_VERB', '._PUNCT'];19;{'had_AUX', 'was_AUX', 'his_DET'};19;{'had_AUX', 'was_AUX'};19;{'his_DET'}
1764;"['Clash_NOUN', ',_PUNCT', 'clash_NOUN', ',_PUNCT', 'hammer_NOUN', ';_PUNCT', 'ding_NOUN', ',_PUNCT', 'dong_NOUN', ',_PUNCT', 'bell_NOUN', '!_PUNCT']";12;{'Clash_PROPN', 'clash_VERB', 'dong_PROPN', 'ding_PROPN', 'bell_PROPN'};12;;12;{'Clash_PROPN', 'ding_PROPN', 'clash_VERB', 'dong_PROPN', 'bell_PROPN'}
1765;"['Bell_PROPN', ',_PUNCT', 'dong_NOUN', ',_PUNCT', 'ding_NOUN', ';_PUNCT', 'hammer_NOUN', ',_PUNCT', 'clang_NOUN', ',_PUNCT', 'clash_NOUN', '!_PUNCT']";12;{'hammer_PROPN', 'clash_VERB', 'dong_PROPN', 'clang_PROPN', 'ding_PROPN'};12;;12;{'clang_PROPN', 'ding_PROPN', 'hammer_PROPN', 'clash_VERB', 'dong_PROPN'}
1766;['Oh_INTJ', ',_PUNCT', 'glorious_ADJ', ',_PUNCT', 'glorious_ADJ', '!_PUNCT'];6;;6;;6;
1767;['Running_VERB', 'to_ADP', 'the_DET', 'window_NOUN', ',_PUNCT', 'he_PRON', 'opened_VERB', 'it_PRON', ',_PUNCT', 'and_CCONJ', 'put_VERB', 'out_ADP', 'his_PRON', 'head_NOUN', '._PUNCT'];15;{'his_DET'};15;;15;{'his_DET'}
1768;"['No_DET', 'fog_NOUN', ',_PUNCT', 'no_DET', 'mist_NOUN', ';_PUNCT', 'clear_ADJ', ',_PUNCT', 'bright_ADJ', ',_PUNCT', 'jovial_ADJ', ',_PUNCT', 'stirring_ADJ', ',_PUNCT', 'cold_ADJ', ';_PUNCT', 'cold_ADJ', ',_PUNCT', 'piping_VERB', 'for_ADP', 'the_DET', 'blood_NOUN', 'to_PART', 'dance_VERB', 'to_ADP', ';_PUNCT', 'Golden_ADJ', 'sun-light_ADJ', ';_PUNCT', 'Heavenly_ADJ', 'sky_NOUN', ';_PUNCT', 'sweet_ADJ', 'fresh_ADJ', 'air_NOUN', ';_PUNCT', 'merry_ADJ', 'bells_NOUN', '._PUNCT']";39;{'light_NOUN', '-_PUNCT', 'merry_PROPN', 'sun_NOUN'};41;{'light_NOUN', 'piping_NOUN', '-_PUNCT', 'sun_NOUN'};41;{'merry_PROPN'}
1769;['Oh_INTJ', ',_PUNCT', 'glorious_ADJ', '!_PUNCT'];4;;4;;4;
1770;['Glorious_ADJ', '!_PUNCT'];2;;2;;2;
1771;"['""_PUNCT', 'What_PRON', ""'s_VERB"", 'to-day_NOUN', '?_PUNCT', '""_PUNCT']";6;"{'day_NOUN', ""'s_AUX"", '-_PUNCT', 'to_PART'}";8;"{'to_ADP', ""'s_AUX"", '-_PUNCT', 'day_NOUN'}";8;{'to_PART'}
1772;['cried_VERB', 'Scrooge_PROPN', ',_PUNCT', 'calling_VERB', 'downward_ADV', 'to_ADP', 'a_DET', 'boy_NOUN', 'in_ADP', 'Sunday_PROPN', 'clothes_NOUN', ',_PUNCT', 'who_PRON', 'perhaps_ADV', 'had_VERB', 'loitered_VERB', 'in_ADP', 'to_PART', 'look_VERB', 'about_ADP', 'him_PRON', '._PUNCT'];22;{'had_AUX'};22;{'had_AUX', 'in_ADV'};22;
1773;"['""_PUNCT', 'EH_INTJ', '?_PUNCT', '""_PUNCT']";4;{'EH_PROPN'};4;;4;{'EH_PROPN'}
1774;['returned_VERB', 'the_DET', 'boy_NOUN', 'with_ADP', 'all_DET', 'his_PRON', 'might_NOUN', 'of_ADP', 'wonder_NOUN', '._PUNCT'];10;{'his_DET'};10;;10;{'his_DET'}
1775;"['""_PUNCT', 'What_PRON', ""'s_VERB"", 'to-day_NOUN', ',_PUNCT', 'my_PRON', 'fine_ADJ', 'fellow_NOUN', '?_PUNCT', '""_PUNCT']";10;"{'day_NOUN', 'my_DET', ""'s_AUX"", '-_PUNCT', 'to_PART'}";12;"{'to_ADP', ""'s_AUX"", '-_PUNCT', 'day_NOUN'}";12;{'my_DET', 'to_PART'}
1776;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
1777;"['""_PUNCT', 'To-day_NOUN', '!_PUNCT', '""_PUNCT']";4;{'day_NOUN', '-_PUNCT', 'To_ADP'};6;{'day_NOUN', 'To-_ADJ'};5;{'-_PUNCT', 'To_ADP'}
1778;['replied_VERB', 'the_DET', 'boy_NOUN', '._PUNCT'];4;;4;;4;
1779;"['""_PUNCT', 'Why_ADV', ',_PUNCT', 'CHRISTMAS_PROPN', 'DAY_PROPN', '._PUNCT', '""_PUNCT']";7;;7;;7;
1780;"['""_PUNCT', 'It_PRON', ""'s_VERB"", 'Christmas_PROPN', 'Day_PROPN', '!_PUNCT', '""_PUNCT']";7;"{""'s_AUX""}";7;"{""'s_AUX""}";7;
1781;['said_VERB', 'Scrooge_PROPN', 'to_ADP', 'himself_PRON', '._PUNCT'];5;;5;;5;
1782;"['""_PUNCT', 'I_PRON', 'have_VERB', ""n't_ADV"", 'missed_VERB', 'it_PRON', '._PUNCT']";7;"{""n't_PART"", 'have_AUX'}";7;"{""n't_PART"", 'have_AUX'}";7;
1783;['The_DET', 'Spirits_PROPN', 'have_VERB', 'done_VERB', 'it_PRON', 'all_DET', 'in_ADP', 'one_NUM', 'night_NOUN', '._PUNCT'];10;{'Spirits_NOUN', 'have_AUX'};10;{'Spirits_NOUN', 'have_AUX'};10;
1784;['They_PRON', 'can_AUX', 'do_VERB', 'anything_NOUN', 'they_PRON', 'like_VERB', '._PUNCT'];7;{'do_AUX', 'can_VERB', 'anything_PRON'};7;{'anything_PRON'};7;{'do_AUX', 'can_VERB'}
1785;['Of_ADV', 'course_ADV', 'they_PRON', 'can_AUX', '._PUNCT'];5;{'can_VERB'};5;;5;{'can_VERB'}
1786;['Of_ADV', 'course_ADV', 'they_PRON', 'can_AUX', '._PUNCT'];5;{'can_VERB'};5;;5;{'can_VERB'}
1787;"['Hallo_PROPN', ',_PUNCT', 'my_PRON', 'fine_ADJ', 'fellow_NOUN', '!_PUNCT', '""_PUNCT']";7;{'Hallo_INTJ', 'my_DET'};7;{'Hallo_INTJ'};7;{'my_DET'}
1788;"['""_PUNCT', 'Hallo_PROPN', '!_PUNCT', '""_PUNCT']";4;{'Hallo_INTJ'};4;;4;{'Hallo_INTJ'}
1789;['returned_VERB', 'the_DET', 'boy_NOUN', '._PUNCT'];4;;4;;4;
1790;"['""_PUNCT', 'Do_VERB', 'you_PRON', 'know_VERB', 'the_DET', 'Poulterer_PROPN', ""'s_VERB"", 'in_ADP', 'the_DET', 'next_ADJ', 'street_NOUN', 'but_CCONJ', 'one_NUM', ',_PUNCT', 'at_ADP', 'the_DET', 'corner_NOUN', '?_PUNCT', '""_PUNCT']";19;"{""'s_PART"", 'Do_AUX'}";19;"{""'s_AUX"", 'Do_AUX'}";19;"{""'s_PART""}"
1791;['Scrooge_PROPN', 'inquired_VERB', '._PUNCT'];3;{'inquired_ADJ'};3;;3;{'inquired_ADJ'}
1792;"['""_PUNCT', 'I_PRON', 'should_AUX', 'hope_VERB', 'I_PRON', 'did_VERB', ',""_PUNCT', 'replied_VERB', 'the_DET', 'lad_NOUN', '._PUNCT']";11;{'did_AUX', ',_PUNCT', 'should_VERB'};12;{'did_AUX', ',_PUNCT'};12;{'should_VERB'}
1793;"['""_PUNCT', 'An_DET', 'intelligent_ADJ', 'boy_NOUN', '!_PUNCT', '""_PUNCT']";6;;6;;6;
1794;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
1795;"['""_PUNCT', 'A_DET', 'remarkable_ADJ', 'boy_NOUN', '!_PUNCT']";5;;5;;5;
1796;"['Do_VERB', 'you_PRON', 'know_VERB', 'whether_ADP', 'they_PRON', ""'ve_VERB"", 'sold_VERB', 'the_DET', 'prize_NOUN', 'Turkey_PROPN', 'that_PRON', 'was_VERB', 'hanging_VERB', 'up_ADP', 'there_ADV', '?--_PUNCT', 'Not_ADV', 'the_DET', 'little_ADJ', 'prize_NOUN', 'Turkey_PROPN', ':_PUNCT', 'the_DET', 'big_ADJ', 'one_NOUN', '?_PUNCT', '""_PUNCT']";27;"{""'ve_AUX"", 'that_DET', 'Do_AUX', 'was_AUX', 'whether_SCONJ', 'there?--Not_ADV'}";25;"{'--_PUNCT', ""'ve_AUX"", 'Do_AUX', 'was_AUX', 'Not_PART', 'whether_SCONJ'}";28;{'that_DET', 'there?--Not_ADV'}
1797;"['""_PUNCT', 'What_PRON', '!_PUNCT']";3;;3;;3;
1798;"['the_DET', 'one_NOUN', 'as_ADV', 'big_ADJ', 'as_ADP', 'me_PRON', '?_PUNCT', '""_PUNCT']";8;{'as_SCONJ'};8;;8;{'as_SCONJ'}
1799;['returned_VERB', 'the_DET', 'boy_NOUN', '._PUNCT'];4;;4;;4;
1800;"['""_PUNCT', 'What_PRON', 'a_DET', 'delightful_ADJ', 'boy_NOUN', '!_PUNCT', '""_PUNCT']";7;;7;{'What_DET'};7;
1801;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
1802;"['""_PUNCT', 'It_PRON', ""'s_VERB"", 'a_DET', 'pleasure_NOUN', 'to_PART', 'talk_VERB', 'to_ADP', 'him_PRON', '._PUNCT']";10;"{""'s_AUX""}";10;"{""'s_AUX""}";10;
1803;"['Yes_INTJ', ',_PUNCT', 'my_PRON', 'buck_NOUN', '!_PUNCT', '""_PUNCT']";6;{'my_DET'};6;;6;{'my_DET'}
1804;"['""_PUNCT', 'It_PRON', ""'s_VERB"", 'hanging_VERB', 'there_ADV', 'now_ADV', ',""_PUNCT', 'replied_VERB', 'the_DET', 'boy_NOUN', '._PUNCT']";11;"{""'s_AUX"", ',_PUNCT'}";12;"{""'s_AUX"", ',_PUNCT'}";12;
1805;"['""_PUNCT', 'Is_VERB', 'it_PRON', '?_PUNCT', '""_PUNCT']";5;{'Is_AUX'};5;{'Is_AUX'};5;
1806;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
1807;"['""_PUNCT', 'Go_VERB', 'and_CCONJ', 'buy_VERB', 'it_PRON', '._PUNCT', '""_PUNCT']";7;;7;;7;
1808;"['""_PUNCT', 'Walk-ER_NOUN', '!_PUNCT', '""_PUNCT']";4;{'ER_PROPN', 'Walk_PROPN', '-_PUNCT'};6;{'Walk_VERB', '-_PUNCT', 'ER_NOUN'};6;{'ER_PROPN', 'Walk_PROPN'}
1809;['exclaimed_VERB', 'the_DET', 'boy_NOUN', '._PUNCT'];4;;4;;4;
1810;"['""_PUNCT', 'No_INTJ', ',_PUNCT', 'no_INTJ', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', ',_PUNCT', '""_PUNCT', 'I_PRON', 'am_VERB', 'in_ADP', 'earnest_NOUN', '._PUNCT']";14;{'am_AUX'};15;{'am_AUX', 'earnest_ADJ'};15;
1811;"['Go_VERB', 'and_CCONJ', 'buy_VERB', 'it_PRON', ',_PUNCT', 'and_CCONJ', 'tell_VERB', ""'_PUNCT"", 'em_PRON', 'to_PART', 'bring_VERB', 'it_PRON', 'here_ADV', ',_PUNCT', 'that_ADP', 'I_PRON', 'may_AUX', 'give_VERB', 'them_PRON', 'the_DET', 'directions_NOUN', 'where_ADV', 'to_PART', 'take_VERB', 'it_PRON', '._PUNCT']";26;"{'to_ADP', 'that_SCONJ', ""'em_PRON"", 'may_VERB'}";25;"{'that_SCONJ', ""'em_PRON""}";25;{'to_ADP', 'may_VERB'}
1812;"['Come_VERB', 'back_ADV', 'with_ADP', 'the_DET', 'man_NOUN', ',_PUNCT', 'and_CCONJ', 'I_PRON', ""'ll_AUX"", 'give_VERB', 'you_PRON', 'a_DET', 'shilling_NOUN', '._PUNCT']";14;"{""'ll_VERB""}";14;;14;"{""'ll_VERB""}"
1813;"['Come_VERB', 'back_ADV', 'with_ADP', 'him_PRON', 'in_ADP', 'less_ADJ', 'than_ADP', 'five_NUM', 'minutes_NOUN', ',_PUNCT', 'and_CCONJ', 'I_PRON', ""'ll_AUX"", 'give_VERB', 'you_PRON', 'half-a-crown_NOUN', '!_PUNCT', '""_PUNCT']";18;"{'a_DET', ""'ll_VERB"", '-_PUNCT', 'than_SCONJ', 'crown_NOUN', 'half_ADJ'}";22;{'half_NOUN', 'crown_NOUN', '-_PUNCT', 'a-_NOUN'};21;"{'than_SCONJ', 'a_DET', ""'ll_VERB"", 'half_ADJ'}"
1814;['The_DET', 'boy_NOUN', 'was_VERB', 'off_ADV', 'like_ADP', 'a_DET', 'shot_NOUN', '._PUNCT'];8;{'like_SCONJ', 'was_AUX'};8;{'was_AUX'};8;{'like_SCONJ'}
1815;['He_PRON', 'must_AUX', 'have_VERB', 'had_VERB', 'a_DET', 'steady_ADJ', 'hand_NOUN', 'at_ADP', 'a_DET', 'trigger_NOUN', 'who_PRON', 'could_AUX', 'have_VERB', 'got_VERB', 'a_DET', 'shot_NOUN', 'off_ADP', 'half_DET', 'so_ADV', 'fast_ADV', '._PUNCT'];21;{'half_NOUN', 'must_VERB', 'off_ADV', 'could_VERB', 'have_AUX'};21;{'have_AUX', 'half_ADV'};21;{'half_NOUN', 'must_VERB', 'could_VERB', 'off_ADV'}
1816;"['""_PUNCT', 'I_PRON', ""'ll_AUX"", 'send_VERB', 'it_PRON', 'to_ADP', 'Bob_PROPN', 'Cratchit_PROPN', ""'s_PART"", ',""_PUNCT', 'whispered_VERB', 'Scrooge_PROPN', ',_PUNCT', 'rubbing_VERB', 'his_PRON', 'hands_NOUN', ',_PUNCT', 'and_CCONJ', 'splitting_VERB', 'with_ADP', 'a_DET', 'laugh_NOUN', '._PUNCT']";23;"{""'ll_VERB"", 'splitting_NOUN', 'his_DET'}";24;;24;"{""'ll_VERB"", 'splitting_NOUN', 'his_DET'}"
1817;"['""_PUNCT', 'He_PRON', 'sha_AUX', ""n't_ADV"", 'know_VERB', 'who_PRON', 'sends_VERB', 'it_PRON', '._PUNCT']";9;"{'sha_VERB', ""n't_PART""}";9;"{""n't_PART""}";9;{'sha_VERB'}
1818;"['It_PRON', ""'s_VERB"", 'twice_DET', 'the_DET', 'size_NOUN', 'of_ADP', 'Tiny_PROPN', 'Tim_PROPN', '._PUNCT']";9;"{""'s_AUX"", 'twice_ADV'}";9;"{""'s_AUX"", 'twice_ADV'}";9;
1819;"['Joe_PROPN', 'Miller_PROPN', 'never_ADV', 'made_VERB', 'such_DET', 'a_DET', 'joke_NOUN', 'as_ADP', 'sending_VERB', 'it_PRON', 'to_ADP', 'Bob_PROPN', ""'s_PART"", 'will_AUX', 'be_VERB', '!_PUNCT', '""_PUNCT']";17;{'will_VERB', 'be_AUX', 'as_SCONJ'};17;{'be_AUX', 'as_SCONJ'};17;{'will_VERB'}
1820;"['The_DET', 'hand_NOUN', 'in_ADP', 'which_PRON', 'he_PRON', 'wrote_VERB', 'the_DET', 'address_NOUN', 'was_VERB', 'not_ADV', 'a_DET', 'steady_ADJ', 'one_NOUN', ';_PUNCT', 'but_CCONJ', 'write_VERB', 'it_PRON', 'he_PRON', 'did_VERB', ',_PUNCT', 'somehow_ADV', ',_PUNCT', 'and_CCONJ', 'went_VERB', 'down-stairs_ADV', 'to_PART', 'open_VERB', 'the_DET', 'street-door_NOUN', ',_PUNCT', 'ready_ADJ', 'for_ADP', 'the_DET', 'coming_NOUN', 'of_ADP', 'the_DET', 'poulterer_NOUN', ""'s_PART"", 'man_NOUN', '._PUNCT']";40;{'not_PART', '-_PUNCT', 'did_AUX', 'down_ADV', 'was_AUX', 'door_NOUN', 'street_NOUN', 'stairs_NOUN', 'which_DET', 'one_NUM'};44;{'not_PART', '-_PUNCT', 'was_AUX', 'down_ADV', 'door_NOUN', 'street_NOUN', 'stairs_NOUN'};44;{'one_NUM', 'did_AUX', 'which_DET'}
1821;['As_ADP', 'he_PRON', 'stood_VERB', 'there_ADV', ',_PUNCT', 'waiting_VERB', 'his_PRON', 'arrival_NOUN', ',_PUNCT', 'the_DET', 'knocker_NOUN', 'caught_VERB', 'his_PRON', 'eye_NOUN', '._PUNCT'];15;{'As_SCONJ', 'his_DET'};15;{'As_SCONJ'};15;{'his_DET'}
1822;"['""_PUNCT', 'I_PRON', 'shall_AUX', 'love_VERB', 'it_PRON', 'as_ADV', 'long_ADV', 'as_ADP', 'I_PRON', 'live_VERB', '!_PUNCT', '""_PUNCT']";12;{'shall_VERB', 'as_SCONJ'};12;{'as_SCONJ'};12;{'shall_VERB'}
1823;['cried_VERB', 'Scrooge_PROPN', ',_PUNCT', 'patting_VERB', 'it_PRON', 'with_ADP', 'his_PRON', 'hand_NOUN', '._PUNCT'];9;{'his_DET'};9;;9;{'his_DET'}
1824;"['""_PUNCT', 'I_PRON', 'scarcely_ADV', 'ever_ADV', 'looked_VERB', 'at_ADP', 'it_PRON', 'before_ADV', '._PUNCT']";9;;9;;9;
1825;['What_PRON', 'an_DET', 'honest_ADJ', 'expression_NOUN', 'it_PRON', 'has_VERB', 'in_ADP', 'its_PRON', 'face_NOUN', '!_PUNCT'];10;{'its_DET', 'What_DET', 'has_AUX'};10;{'What_DET'};10;{'its_DET', 'has_AUX'}
1826;"['It_PRON', ""'s_VERB"", 'a_DET', 'wonderful_ADJ', 'knocker_NOUN', '!--_PUNCT', 'Here_ADV', ""'s_VERB"", 'the_DET', 'Turkey_PROPN', '._PUNCT']";11;"{'knocker!--Here_NOUN', ""'s_AUX""}";9;"{'--_PUNCT', ""'s_AUX"", '!_PUNCT'}";12;{'knocker!--Here_NOUN'}
1827;['Hallo_INTJ', '!_PUNCT'];2;;2;;2;
1828;['Whoop_INTJ', '!_PUNCT'];2;{'Whoop_PROPN'};2;{'Whoop_NOUN'};2;{'Whoop_PROPN'}
1829;['How_ADV', 'are_VERB', 'you_PRON', '?_PUNCT'];4;{'are_AUX'};4;{'are_AUX'};4;
1830;"['Merry_PROPN', 'Christmas_PROPN', '!_PUNCT', '""_PUNCT']";4;;4;;4;
1831;['It_PRON', '__SYM', 'was_VERB', '__PUNCT', 'a_DET', 'Turkey_PROPN', '!_PUNCT'];7;{'was_AUX', '__PROPN'};7;{'_was__AUX'};5;{'was_AUX', '__PROPN'}
1832;['He_PRON', 'never_ADV', 'could_AUX', 'have_VERB', 'stood_VERB', 'upon_ADP', 'his_PRON', 'legs_NOUN', ',_PUNCT', 'that_DET', 'bird_NOUN', '._PUNCT'];12;{'could_VERB', 'upon_SCONJ', 'have_AUX', 'his_DET'};12;{'have_AUX'};12;{'could_VERB', 'upon_SCONJ', 'his_DET'}
1833;"['He_PRON', 'would_AUX', 'have_VERB', 'snapped_VERB', ""'_PUNCT"", 'em_INTJ', 'short_ADJ', 'off_ADP', 'in_ADP', 'a_DET', 'minute_NOUN', ',_PUNCT', 'like_ADP', 'sticks_NOUN', 'of_ADP', 'sealing-wax_NOUN', '._PUNCT']";17;"{""'em_PRON"", '-_PUNCT', 'sealing_PROPN', 'off_ADV', 'like_SCONJ', 'wax_PROPN', 'would_VERB', 'have_AUX'}";18;"{""'em_PRON"", '-_PUNCT', 'wax_NOUN', 'have_AUX', 'sealing_NOUN'}";18;{'sealing_PROPN', 'off_ADV', 'like_SCONJ', 'wax_PROPN', 'would_VERB'}
1834;"['""_PUNCT', 'Why_ADV', ',_PUNCT', 'it_PRON', ""'s_VERB"", 'impossible_ADJ', 'to_PART', 'carry_VERB', 'that_DET', 'to_ADP', 'Camden_PROPN', 'Town_PROPN', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', '._PUNCT']";16;"{""'s_AUX""}";17;"{'that_PRON', ""'s_AUX""}";17;
1835;"['""_PUNCT', 'You_PRON', 'must_AUX', 'have_VERB', 'a_DET', 'cab_NOUN', '._PUNCT', '""_PUNCT']";8;{'must_VERB', 'have_AUX'};8;;8;{'must_VERB', 'have_AUX'}
1836;['The_DET', 'chuckle_NOUN', 'with_ADP', 'which_PRON', 'he_PRON', 'said_VERB', 'this_DET', ',_PUNCT', 'and_CCONJ', 'the_DET', 'chuckle_NOUN', 'with_ADP', 'which_PRON', 'he_PRON', 'paid_VERB', 'for_ADP', 'the_DET', 'Turkey_PROPN', ',_PUNCT', 'and_CCONJ', 'the_DET', 'chuckle_NOUN', 'with_ADP', 'which_PRON', 'he_PRON', 'paid_VERB', 'for_ADP', 'the_DET', 'cab_NOUN', ',_PUNCT', 'and_CCONJ', 'the_DET', 'chuckle_NOUN', 'with_ADP', 'which_PRON', 'he_PRON', 'recompensed_VERB', 'the_DET', 'boy_NOUN', ',_PUNCT', 'were_VERB', 'only_ADV', 'to_PART', 'be_VERB', 'exceeded_VERB', 'by_ADP', 'the_DET', 'chuckle_NOUN', 'with_ADP', 'which_PRON', 'he_PRON', 'sat_VERB', 'down_ADP', 'breathless_ADV', 'in_ADP', 'his_PRON', 'chair_NOUN', 'again_ADV', ',_PUNCT', 'and_CCONJ', 'chuckled_VERB', 'till_ADP', 'he_PRON', 'cried_VERB', '._PUNCT'];65;{'breathless_NOUN', 'till_SCONJ', 'were_AUX', 'his_DET', 'be_AUX', 'which_DET'};65;{'till_SCONJ', 'were_AUX', 'be_AUX', 'this_PRON', 'breathless_ADJ', 'down_ADV'};65;{'breathless_NOUN', 'his_DET', 'which_DET'}
1837;"['Shaving_NOUN', 'was_VERB', 'not_ADV', 'an_DET', 'easy_ADJ', 'task_NOUN', ',_PUNCT', 'for_ADP', 'his_PRON', 'hand_NOUN', 'continued_VERB', 'to_PART', 'shake_VERB', 'very_ADV', 'much_ADV', ';_PUNCT', 'and_CCONJ', 'shaving_NOUN', 'requires_VERB', 'attention_NOUN', ',_PUNCT', 'even_ADV', 'when_ADV', 'you_PRON', 'do_VERB', ""n't_ADV"", 'dance_VERB', 'while_ADP', 'you_PRON', 'are_VERB', 'at_ADP', 'it_PRON', '._PUNCT']";33;"{'do_AUX', 'his_DET', 'not_PART', 'was_AUX', ""n't_PART"", 'are_AUX', 'while_SCONJ'}";33;"{'do_AUX', 'not_PART', ""n't_PART"", 'was_AUX', 'are_AUX', 'for_SCONJ', 'while_SCONJ'}";33;{'his_DET'}
1838;['But_CCONJ', ',_PUNCT', 'if_ADP', 'he_PRON', 'had_VERB', 'cut_VERB', 'the_DET', 'end_NOUN', 'of_ADP', 'his_PRON', 'nose_NOUN', 'off_ADP', ',_PUNCT', 'he_PRON', 'would_AUX', 'have_VERB', 'put_VERB', 'a_DET', 'piece_NOUN', 'of_ADP', 'sticking-plaster_NOUN', 'over_ADP', 'it_PRON', ',_PUNCT', 'and_CCONJ', 'been_VERB', 'quite_ADV', 'satisfied_ADJ', '._PUNCT'];29;{'if_SCONJ', 'his_DET', '-_PUNCT', 'been_AUX', 'plaster_NOUN', 'sticking_VERB', 'would_VERB', 'had_AUX', 'have_AUX'};31;{'if_SCONJ', 'of_SCONJ', '-_PUNCT', 'been_AUX', 'plaster_NOUN', 'sticking_VERB', 'had_AUX', 'have_AUX'};31;{'his_DET', 'would_VERB'}
1839;"['He_PRON', 'dressed_VERB', 'himself_PRON', '""_PUNCT', 'all_ADV', 'in_ADP', 'his_PRON', 'best_ADJ', ',""_PUNCT', 'and_CCONJ', 'at_ADP', 'last_ADV', 'got_VERB', 'out_ADP', 'into_ADP', 'the_DET', 'streets_NOUN', '._PUNCT']";18;{'last_ADJ', ',_PUNCT', 'his_DET', 'all_DET'};19;{'at_ADV', ',_PUNCT', 'all_DET'};19;{'last_ADJ', 'his_DET'}
